"phylum","class","order","spp","genomes","sequences","papers"
"Porifera","Calcarea","Murrayonida",2,0,6,1
"Chordata","Chondrichthyes","Squaliformes",165,0,535047,36
"Annelida","Polychaeta","Flabelligerida",36,0,121,1
"Mollusca","Bivalvia","Myoida",166,1,1440,4
"Annelida","Polychaeta","Potamodrilidae",1,0,2,1
"Porifera","Hexactinellida","Amphidiscosida",16,0,37,2
"Mollusca","Gastropoda","Acochlidiacea",88,0,420,1
"Arthropoda","Diplopoda","Stemmiulida",2,0,5,5
"Arthropoda","Diplopoda","Glomeridesmida",2,0,5,2
"Echinodermata","Crinoidea","Cyrtocrinida",3,0,22,1
"Echinodermata","Crinoidea","Bourgueticrinida",14,0,56,0
"Annelida","Polychaeta","Phascolosomatiformes",25,0,774,0
"Annelida","Polychaeta","Aspidosiphonidormes",16,0,193,0
"Nematoda","Enoplea","Isolaimida",4,0,5,1
"Nematoda","Enoplea","Triplonchida",282,0,1284,14
"Arthropoda","Insecta","Mantophasmatodea",25,0,228,22
"Nematomorpha","Gordioida","Gordea",72,0,261,0
"Nematomorpha","Gordioida","Chordodea",34,0,281,0
"Chordata","Ascidiacea","Enterogona",294,2,43916,11
"Arthropoda","Ostracoda","Halocyprida",135,0,304,0
"Mollusca","Gastropoda","Thecosomata",77,0,699,9
"Tardigrada","Eutardigrada","Apochela",18,0,4630,4
"Tardigrada","Eutardigrada","Parachela",300,2,15105,7
"Chordata","Actinopteri","Notacanthiformes",21,0,203,11
"Chordata","Actinopteri","Ateleopodiformes",11,0,82,5
"Ctenophora","Tentaculata","Thalassocalycida",3,0,50,1
"Ctenophora","Tentaculata","Platyctenida",21,0,113,2
"Chordata","Actinopteri","Argentiniformes",42,0,582,3
"Echinodermata","Asteroidea","Peripodida",4,0,11,0
"Platyhelminthes","Cestoda","Litobothriidea",4,0,17,8
"Chordata","Actinopteri","Syngnathiformes",686,1,97829,7
"Cnidaria","Hydrozoa","Limnomedusae",192,0,342,6
"Platyhelminthes","Cestoda","Gyrocotylidea",4,0,10,20
"Gnathostomulida",NA,"Filospermoidea",7,0,18,0
"Porifera","Demospongiae","Dictyoceratida",344,0,796,47
"Porifera","Demospongiae","Dendroceratida",42,0,111,7
"Arthropoda","Diplopoda","Playtdesmida",12,0,369,0
"Arthropoda","Diplopoda","Polyzoniida",5,0,67,5
"Arthropoda","Diplopoda","Chordeumatida",94,0,182,21
"Arthropoda","Diplopoda","Callipodida",13,0,117,10
"Chordata","Aves","Galbuliformes",35,0,1153,0
"Chordata",NA,"Ceratodontiformes",1,0,240,1
"Chordata","Chondrichthyes","Echinorhiniformes",3,0,22,0
"Chordata","Chondrichthyes","Torpediniformes",45,0,320,20
"Chordata","Chondrichthyes","Pristiformes/Rhiniformes group",72,0,575,1
"Chordata","Chondrichthyes","Myliobatiformes",318,0,3848,77
"Platyhelminthes","Cestoda","Nippotaeniidea",3,0,12,11
"Arthropoda","Ostracoda","Platycopida",6,0,9,1
"Arthropoda","Remipedia","Nectiopoda",31,0,108746,1
"Arthropoda","Maxillopoda","Mystacocaridida",2,0,44,0
"Arthropoda","Maxillopoda","Laurida",3,0,10,0
"Arthropoda","Maxillopoda","Dendrogastrida",3,0,16,0
"Arthropoda","Maxillopoda","Sessilia",510,0,16744,1441
"Arthropoda","Maxillopoda","Pedunculata",366,0,3148,1529
"Brachiopoda","Craniata","Craniida",73,0,231,0
"Nematoda","Chromadorea","Araeolaimida",249,0,661,10
"Platyhelminthes","Cestoda","Rhinebothriidea",112,0,445,15
"Platyhelminthes","Cestoda","Tetrabothriidea",7,0,18,13
"Platyhelminthes","Cestoda","Lecanicephalidea",71,0,247,29
"Platyhelminthes","Cestoda","Diphyllidea",40,0,166,34
"Platyhelminthes","Cestoda","Haplobothriidea",1,0,6,7
"Platyhelminthes","Cestoda","Caryophyllidea",61,0,764,80
"Platyhelminthes","Cestoda","Spathebothriidea",4,0,78,25
"Platyhelminthes","Cestoda","Amphilinidea",4,0,14,22
"Mollusca","Bivalvia","Pectinoida",190,1,236267,7
"Echinodermata","Asteroidea","Brisingida",24,0,47,2
"Echinodermata","Echinoidea","Pedinoida",8,0,28,0
"Rotifera","Monogononta","Flosculariacea",41,0,242,0
"Rotifera","Bdelloidea","Philodinida",165,0,1296,1
"Rotifera","Bdelloidea","Adinetida",83,1,66668,0
"Mollusca","Bivalvia","Limoida",31,0,217,0
"Porifera","Hexactinellida","Hexactinosida",29,0,157,1
"Bryozoa","Stenolaemata","Cyclostomatida",32,0,129,1
"Chordata","Actinopteri","Ophidiiformes",178,0,1228,18
"Cnidaria","Anthozoa","Telestacea",8,0,13,0
"Arthropoda","Arachnida","Opilioacarida",7,0,16,6
"Nemertea","Enopla","Bdellonemertea",4,0,266,2
"Arthropoda","Arachnida","Palpigradi",27,0,131,12
"Cnidaria","Anthozoa","Ptychodactiaria",1,0,7,0
"Cnidaria","Anthozoa","Helioporacea",3,0,75610,2
